sample,count
gold_subject_000241_atlas_in_t1_copy1,3
gold_subject_000241_atlas_in_t1_copy2,3
gold_subject_000241_atlas_in_t1_copy3,3
gold_subject_000241_t1_in_atlas_copy1,2
gold_subject_000241_t1_in_atlas_copy2,2
gold_subject_000241_t1_in_atlas_copy3,3
gold_subject_000243_atlas_in_t1_copy1,2
gold_subject_000243_atlas_in_t1_copy2,3
gold_subject_000243_atlas_in_t1_copy3,3
gold_subject_000243_t1_in_atlas_copy1,2
gold_subject_000243_t1_in_atlas_copy2,3
gold_subject_000243_t1_in_atlas_copy3,3
gold_subject_000253_atlas_in_t1_copy1,3
gold_subject_000253_atlas_in_t1_copy2,3
gold_subject_000253_atlas_in_t1_copy3,3
gold_subject_000253_t1_in_atlas_copy1,3
gold_subject_000253_t1_in_atlas_copy2,3
gold_subject_000253_t1_in_atlas_copy3,3
gold_subject_000254_atlas_in_t1_copy1,2
gold_subject_000254_atlas_in_t1_copy2,3
gold_subject_000254_atlas_in_t1_copy3,3
gold_subject_000254_t1_in_atlas_copy1,3
gold_subject_000254_t1_in_atlas_copy2,3
gold_subject_000254_t1_in_atlas_copy3,3
gold_subject_000258_atlas_in_t1_copy1,3
gold_subject_000258_atlas_in_t1_copy2,3
gold_subject_000258_atlas_in_t1_copy3,3
gold_subject_000258_t1_in_atlas_copy1,3
gold_subject_000258_t1_in_atlas_copy2,3
gold_subject_000258_t1_in_atlas_copy3,2
gold_subject_000265_atlas_in_t1_copy1,2
gold_subject_000265_atlas_in_t1_copy2,2
gold_subject_000265_atlas_in_t1_copy3,2
gold_subject_000265_t1_in_atlas_copy1,2
gold_subject_000265_t1_in_atlas_copy2,3
gold_subject_000265_t1_in_atlas_copy3,2
gold_subject_000267_atlas_in_t1_copy1,3
gold_subject_000267_atlas_in_t1_copy2,3
gold_subject_000267_atlas_in_t1_copy3,3
gold_subject_000267_t1_in_atlas_copy1,3
gold_subject_000267_t1_in_atlas_copy2,3
gold_subject_000267_t1_in_atlas_copy3,3
gold_subject_000268_atlas_in_t1_copy1,3
gold_subject_000268_atlas_in_t1_copy2,3
gold_subject_000268_atlas_in_t1_copy3,2
gold_subject_000268_t1_in_atlas_copy1,3
gold_subject_000268_t1_in_atlas_copy2,3
gold_subject_000268_t1_in_atlas_copy3,3
gold_subject_000274_atlas_in_t1_copy1,2
gold_subject_000274_atlas_in_t1_copy2,3
gold_subject_000274_atlas_in_t1_copy3,3
gold_subject_000274_t1_in_atlas_copy1,3
gold_subject_000274_t1_in_atlas_copy2,3
gold_subject_000274_t1_in_atlas_copy3,3
gold_subject_000275_atlas_in_t1_copy1,3
gold_subject_000275_atlas_in_t1_copy2,3
gold_subject_000275_atlas_in_t1_copy3,2
gold_subject_000275_t1_in_atlas_copy1,2
gold_subject_000275_t1_in_atlas_copy2,2
gold_subject_000275_t1_in_atlas_copy3,3
gold_subject_000288_atlas_in_t1_copy1,3
gold_subject_000288_atlas_in_t1_copy2,2
gold_subject_000288_atlas_in_t1_copy3,3
gold_subject_000288_t1_in_atlas_copy1,3
gold_subject_000288_t1_in_atlas_copy2,3
gold_subject_000288_t1_in_atlas_copy3,2
gold_subject_000291_atlas_in_t1_copy1,2
gold_subject_000291_atlas_in_t1_copy2,2
gold_subject_000291_atlas_in_t1_copy3,3
gold_subject_000291_t1_in_atlas_copy1,3
gold_subject_000291_t1_in_atlas_copy2,2
gold_subject_000291_t1_in_atlas_copy3,3
gold_subject_000293_atlas_in_t1_copy1,2
gold_subject_000293_atlas_in_t1_copy2,2
gold_subject_000293_atlas_in_t1_copy3,3
gold_subject_000293_t1_in_atlas_copy1,2
gold_subject_000293_t1_in_atlas_copy2,3
gold_subject_000293_t1_in_atlas_copy3,3
gold_subject_000297_atlas_in_t1_copy1,2
gold_subject_000297_atlas_in_t1_copy2,3
gold_subject_000297_atlas_in_t1_copy3,2
gold_subject_000297_t1_in_atlas_copy1,3
gold_subject_000297_t1_in_atlas_copy2,3
gold_subject_000297_t1_in_atlas_copy3,3
gold_subject_000299_atlas_in_t1_copy1,3
gold_subject_000299_atlas_in_t1_copy2,3
gold_subject_000299_atlas_in_t1_copy3,3
gold_subject_000299_t1_in_atlas_copy1,3
gold_subject_000299_t1_in_atlas_copy2,3
gold_subject_000299_t1_in_atlas_copy3,3
gold_subject_000303_atlas_in_t1_copy1,3
gold_subject_000303_atlas_in_t1_copy2,3
gold_subject_000303_atlas_in_t1_copy3,2
gold_subject_000303_t1_in_atlas_copy1,3
gold_subject_000303_t1_in_atlas_copy2,3
gold_subject_000303_t1_in_atlas_copy3,3
gold_subject_000313_atlas_in_t1_copy1,2
gold_subject_000313_atlas_in_t1_copy2,3
gold_subject_000313_atlas_in_t1_copy3,3
gold_subject_000313_t1_in_atlas_copy1,2
gold_subject_000313_t1_in_atlas_copy2,3
gold_subject_000313_t1_in_atlas_copy3,2
gold_subject_000322_atlas_in_t1_copy1,3
